x1,x2,x3,x4,x5,x6,t
-5036.983043747698,-9474.775285987334,98.78442551524253,644.0263607206675,-123.34471495230966,5056.818587781895,344344.97341192217
-4751.78775095761,-9890.04725736066,26.992008328119624,124.30648482539284,-126.61533381522443,5063.490723803416,255883.77475441078
-4900.675342374997,-9630.642955549716,553.9839253557943,-587.4496541480298,-118.21873239803186,5065.202923846935,448871.4789047067
-4855.9654598303905,-10354.970934952633,-114.81691272439184,-59.82699909931115,-129.48728336626525,4979.295929739871,161276.48103120906
-4826.858411242201,-9789.186296502332,67.98628980041153,-469.9736052575365,-126.91544297084361,4978.625778670424,212934.13206945074
-4814.978479465629,-9706.486929233924,239.3425628313825,142.00653631179887,-121.66721153630945,5012.932005474771,361716.9958682136
-4868.762466513341,-9844.768923106249,352.55550886779235,248.14499030004205,-130.547024377899,4866.766900403713,421305.623167266
-5045.746614605016,-9378.842486834768,351.38128124335935,-34.126291369521155,-130.61681552847384,4844.722661847821,392443.1015791226
-5021.100829235808,-9674.1080638225,700.7185210795092,466.6095242635673,-123.00836736133176,4988.6240753579095,623703.735095924
-4803.639103451671,-9678.539932329888,448.6558303109489,-389.5952422269444,-114.41023900509057,4867.885410257599,406026.541280717
100.5888,-9830.190010539905,247.83252743619485,-204.53762498709438,-127.14158237384859,-100.0,75867.99593356383
-5046.117762015459,-9740.695142425622,455.73833632137246,401.88844471888115,-114.76405608540904,4963.029020192333,493306.13827435445
-4935.18710675321,-9352.133161171449,311.8541596843455,222.21913716090987,-122.37076330626493,5111.002765367743,411700.58447451796
-4873.7842073515285,-9664.258822682834,244.46124415377878,421.941499110135,-121.04813539776809,4907.120454977516,387070.4999757376
-4830.328029648806,-9732.749363670318,275.6942718123691,10.573152274127942,-129.42632989578487,4955.046733352709,363793.30203549634
-5031.0102227494335,-10074.590506840397,489.9574062322321,-133.16135899022603,-124.41608811855393,4773.641103648727,446674.8387954338
-4924.320253467596,-9620.80664225566,19.804755514662816,283.7571760532917,-129.3433204241287,4795.978503579075,255461.60389575912
-5020.211503223267,-9738.909628732605,594.6297209636946,-112.31423917627288,-128.8560325934466,5014.919121351211,513932.75047934067
-4871.443025602843,-9672.69655670303,533.2197125364614,197.8075640309237,-126.19668084597451,4966.915008259585,512006.89050464425
-5037.438261963549,-9419.825988051782,484.8243685787479,-89.82922629671913,-118.20124010889369,5031.251573064022,462827.3785129475
-4835.8547000814315,-9771.522208428329,558.0720556527375,-128.42813650627804,-116.94245774667147,5019.923471976732,494236.1842827265
-4674.842851129459,-9533.793364417974,648.9871959478323,132.98449270375306,-120.71215051210447,4780.1186340309405,554407.6492104137
-4889.270022473787,-9639.915662262736,856.3201374707364,55.64524975468491,-117.4257904677748,5085.759310035902,665356.7087613896
-4958.966460299991,-9424.619858972568,292.7889929804455,-155.99957862014168,-114.366722007684,4886.780586207139,352965.9312501766
-4802.84066530012,-9722.25578941489,485.65664330720165,273.16684214668135,-119.60777349418447,4860.2825862250365,490322.54318956303
-4823.415013353115,-9601.844208297542,620.0500508841478,-81.79470901918478,-129.9811957309137,4866.939665017179,522630.82462939905
-4883.995415427003,-9453.071087211287,214.9995411101924,-264.6550831250982,-119.27618242925581,4772.821354218718,297449.7476352112
-4742.033647905261,-9466.13692979569,402.6253217695591,307.9775914527442,-118.49753419757542,4952.179398637591,457477.9531610787
-4687.546203539568,-9772.043345649718,398.3757946028568,-7.417902367283432,-126.20550317044157,4716.432680383497,411328.1605630234
-4801.836085340602,-9311.279094696194,601.0553941334122,101.55162443774341,-130.5788613512246,5066.292141416317,542106.2104760996
-4812.767161525473,-9556.766048126938,1150.5994291764034,623.7758712416723,-125.4667664391209,4772.291162122552,853834.8957248856
-4976.124731423668,-9322.183178231435,578.9075059507568,636.0606787622554,-120.32636142914582,4785.606853797903,570406.409432063
-5034.797529799712,-9342.206419205304,187.97898341125176,-17.746169815145407,-128.46847266876807,4700.155470140725,305236.96524552273
-4795.772994913418,-9592.928657523047,529.7862275656034,279.6018086070293,-125.39490888741622,4875.924259742397,514111.06902392127
-4754.020504365326,-9752.521914162431,558.1710786064251,175.74333588320997,-118.94236423663591,4932.351022424737,520376.102617396
